dataset_id,scenario_id,exec_num,agent_type,frame,scenario_status,ego_id,c_x,c_y,c_speed,c_acceleration,target_speed,c_steer,c_throttle,c_brake,perceived_c_x,perceived_c_y,perceived_c_speed,gaze_direction,preceding_id,a_x,a_y,a_speed
1,0,1,cogmod,5,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,0.7839999794960022,0.7839999794960022,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,6,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,1.1760001182556152,1.1760001182556152,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,7,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,1.5680001974105835,1.5680001974105835,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,8,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,1.9600002765655518,1.9600002765655518,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,9,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,2.3520004749298096,2.3520004749298096,2.8999536,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,10,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,2.744000196456909,2.744000196456909,2.8999536,0.10000000149011612,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,11,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,3.1359996795654297,3.1359996795654297,2.8999536,0.20000000298023224,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,12,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,3.52799916267395,3.52799916267395,2.8999536,0.30000001192092896,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,13,ScenarioState.PENDING,50,-330.75213623046875,466.18218994140625,3.9199986457824707,3.9199986457824707,2.8999536,0.330524206161499,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,14,ScenarioState.PENDING,50,-330.75213623046875,466.18212890625,3.877551555633545,3.877551555633545,2.8999536,0.3308618366718292,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,15,ScenarioState.PENDING,50,-330.7522277832031,466.18194580078125,2.16422176361084,2.16422176361084,2.8999536,0.33117708563804626,0.0,0.5,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,16,ScenarioState.PENDING,50,-330.7523498535156,466.1814270019531,0.1499462127685547,0.1499462127685547,2.8999536,0.33152300119400024,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,17,ScenarioState.PENDING,50,-330.7522888183594,466.1807556152344,0.26017630100250244,0.26017630100250244,2.8999536,0.33177903294563293,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,18,ScenarioState.PENDING,50,-330.7522888183594,466.1806640625,0.29889506101608276,0.29889506101608276,2.9227060971682675,0.3320934474468231,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,19,ScenarioState.PENDING,50,-330.75238037109375,466.18072509765625,0.29248225688934326,0.29248225688934326,2.9227060971682675,0.33248403668403625,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,20,ScenarioState.PENDING,50,-330.75244140625,466.18084716796875,0.26110509037971497,0.26110509037971497,2.9227060971682675,0.3325079381465912,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,21,ScenarioState.PENDING,50,-330.75244140625,466.1810302734375,0.21860362589359283,0.21860362589359283,2.902481357970124,0.33251112699508667,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,22,ScenarioState.PENDING,50,-330.7525329589844,466.18115234375,0.1738513857126236,0.1738513857126236,2.902481357970124,0.3325158357620239,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,23,ScenarioState.PENDING,50,-330.75262451171875,466.1812744140625,0.13207392394542694,0.13207392394542694,2.902481357970124,0.3325425386428833,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,24,ScenarioState.PENDING,50,-330.7526550292969,466.1813659667969,0.09594620019197464,0.09594620019197464,2.9033540030175344,0.33254873752593994,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,25,ScenarioState.PENDING,50,-330.752685546875,466.1815185546875,0.0664353221654892,0.0664353221654892,2.9033540030175344,0.3325439691543579,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,26,ScenarioState.PENDING,50,-330.7527160644531,466.181640625,0.04346758499741554,0.04346758499741554,2.9033540030175344,0.3325573801994324,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,27,ScenarioState.PENDING,50,-330.7527160644531,466.1817321777344,0.026374787092208862,0.026374787092208862,2.901705182085501,0.33255723118782043,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,28,ScenarioState.PENDING,50,-330.7527770996094,466.18182373046875,0.014222192578017712,0.014222192578017712,2.901705182085501,0.3325590193271637,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,29,ScenarioState.PENDING,50,-330.7527770996094,466.1818542480469,0.006013755686581135,0.006013755686581135,2.901705182085501,0.3325687050819397,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,30,ScenarioState.PENDING,50,-330.75457763671875,466.1766357421875,0.34069401025772095,0.34069401025772095,2.900671844184576,0.33255958557128906,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,1,cogmod,31,ScenarioState.PENDING,50,-330.765380859375,466.1507568359375,0.853094756603241,0.853094756603241,2.900671844184576,0.32383596897125244,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
