dataset_id,scenario_id,exec_num,agent_type,frame,scenario_status,ego_id,c_x,c_y,c_speed,c_acceleration,target_speed,c_steer,c_throttle,c_brake,perceived_c_x,perceived_c_y,perceived_c_speed,gaze_direction,preceding_id,a_x,a_y,a_speed
1,0,0,idm,6191,ScenarioState.START,50,-192.5907440185547,2.8624653816223145,40.351348876953125,40.351348876953125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6192,ScenarioState.START,50,-190.9763641357422,2.851501703262329,40.351348876953125,40.351348876953125,40.32380726580733,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6193,ScenarioState.START,50,-189.3619842529297,2.8405380249023438,40.351348876953125,40.351348876953125,40.32380726580733,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6194,ScenarioState.START,50,-187.74761962890625,2.8295741081237793,40.351348876953125,40.351348876953125,40.32380726580733,0.0,0.0,0.0,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6195,ScenarioState.START,50,-186.13323974609375,2.818610429763794,40.351348876953125,40.351348876953125,40.32380726580733,0.10000000149011612,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6196,ScenarioState.START,50,-184.51885986328125,2.8076467514038086,40.351348876953125,40.351348876953125,40.32380726580733,0.20000000298023224,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6197,ScenarioState.START,50,-182.9044952392578,2.7966830730438232,40.351348876953125,40.351348876953125,40.32380726580733,0.30000001192092896,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6198,ScenarioState.START,50,-181.2901153564453,2.785719156265259,40.351348876953125,40.351348876953125,40.32380726580733,0.20000000298023224,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6199,ScenarioState.START,50,-179.6757354736328,2.7747554779052734,40.351348876953125,40.351348876953125,40.32380726580733,0.29052236676216125,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
1,0,0,idm,6200,ScenarioState.START,50,-178.0613555908203,2.763791799545288,40.351348876953125,40.351348876953125,40.32380726580733,0.3103722333908081,0.0,0.5,0.0,0.0,0.0,GazeDirection.CENTER,47,67.46499633789062,0.9599999785423279,39.5500602722168
